"자료구분","지역","기준월","지표","값","단위","상태"
"화면 검토용 예시","애월읍","2025-01","카드 소비","18","억 원","예시"
"화면 검토용 예시","애월읍","2025-02","카드 소비","19","억 원","예시"
"화면 검토용 예시","애월읍","2025-03","카드 소비","23","억 원","예시"
"화면 검토용 예시","애월읍","2025-04","카드 소비","24","억 원","예시"
"화면 검토용 예시","애월읍","2025-05","카드 소비","30","억 원","예시"
"화면 검토용 예시","애월읍","2025-06","카드 소비","28","억 원","예시"
"화면 검토용 예시","애월읍","2025-07","카드 소비","35","억 원","예시"
"화면 검토용 예시","애월읍","2025-08","카드 소비","42","억 원","예시"
"화면 검토용 예시","애월읍","2025-09","카드 소비","32","억 원","예시"
"화면 검토용 예시","애월읍","2025-10","카드 소비","29","억 원","예시"
"화면 검토용 예시","애월읍","2025-11","카드 소비","","억 원","미수집"
"화면 검토용 예시","애월읍","2025-12","카드 소비","21","억 원","예시"
"화면 검토용 예시","구좌읍","2025-01","카드 소비","13","억 원","예시"
"화면 검토용 예시","구좌읍","2025-02","카드 소비","12","억 원","예시"
"화면 검토용 예시","구좌읍","2025-03","카드 소비","18","억 원","예시"
"화면 검토용 예시","구좌읍","2025-04","카드 소비","20","억 원","예시"
"화면 검토용 예시","구좌읍","2025-05","카드 소비","22","억 원","예시"
"화면 검토용 예시","구좌읍","2025-06","카드 소비","21","억 원","예시"
"화면 검토용 예시","구좌읍","2025-07","카드 소비","28","억 원","예시"
"화면 검토용 예시","구좌읍","2025-08","카드 소비","31","억 원","예시"
"화면 검토용 예시","구좌읍","2025-09","카드 소비","25","억 원","예시"
"화면 검토용 예시","구좌읍","2025-10","카드 소비","22","억 원","예시"
"화면 검토용 예시","구좌읍","2025-11","카드 소비","","억 원","미수집"
"화면 검토용 예시","구좌읍","2025-12","카드 소비","17","억 원","예시"
